speed       passenger   freight
0-50	      7.6 		   6.65
51-75	      7.75		   6.85
76-100	   7.97		   7
101-125	   8.1 		   7.15
126-150	   8.25		   7.3
151-175	   8.4 		   7.45
176-200	   8.6 		   7.65
201-225	   8.75		   7.75
226-250	   8.9 		   7.9
251-300	   9.2		   8.2
301-350	   9.5		   8.45
351-400	   9.75		   8.7
401-450	   10 		   8.9
451-500	   10.25		   9.15
501-550	   10.45		   9.3
551-600	   10.7		   9.5
601-650	   10.85		   9.65
651-700	   11 		   9.8
701-750	   11.15		   9.9
751-800	   11.25		   10
801-850	   11.35		   10.1
851-900	   11.45		   10.15
901-950	   11.5		   10.2
951-1000	   11.55		   10.30
1001-1050	11.65		   10.35
1051-1100	11.7		   10.4
1101-1150	11.75		   10.45
1151-1250   11.80		   10.50
1251-1350   11.85		   10.55
1351-2000   11.90		   10.55
